,pickup_latlon,dropoff_latlon,trips_per_day,trip_distance_kms
11,"(41.880994471, -87.632746489)","(41.89321636, -87.63784421)",29,1.6
13,"(41.879255084, -87.642648998)","(41.880994471, -87.632746489)",28,1.648
14,"(41.880994471, -87.632746489)","(41.885300022, -87.642808466)",28,1.4400000000000002
15,"(41.899602111, -87.633308037)","(41.922686284, -87.649488729)",24,4.48
17,"(41.880994471, -87.632746489)","(41.88528132, -87.6572332)",23,0.0
18,"(41.899602111, -87.633308037)","(41.944226601, -87.655998182)",23,0.0
20,"(41.884987192, -87.620992913)","(41.879255084, -87.642648998)",20,2.5440000000000005
21,"(41.880994471, -87.632746489)","(41.877406123, -87.621971652)",20,2.5600000000000005
22,"(41.885300022, -87.642808466)","(41.880994471, -87.632746489)",20,1.2800000000000002
23,"(41.879255084, -87.642648998)","(41.884987192, -87.620992913)",19,2.144
24,"(41.892507781, -87.626214906)","(41.97907082, -87.903039661)",28,27.680000000000003
25,"(41.89321636, -87.63784421)","(41.880994471, -87.632746489)",19,3.04
27,"(41.880994471, -87.632746489)","(41.899155613, -87.626210532)",27,1.92
29,"(41.899602111, -87.633308037)","(41.901206994, -87.676355989)",17,2.5600000000000005
31,"(41.877406123, -87.621971652)","(41.880994471, -87.632746489)",16,0.6400000000000001
32,"(41.922686284, -87.649488729)","(41.899602111, -87.633308037)",15,0.16000000000000006
33,"(41.878865584, -87.625192142)","(41.901206994, -87.676355989)",15,0.0
35,"(41.878865584, -87.625192142)","(41.922686284, -87.649488729)",14,4.48
36,"(41.884987192, -87.620992913)","(41.885300022, -87.642808466)",14,0.0
37,"(41.890922026, -87.618868355)","(41.97907082, -87.903039661)",14,27.84
39,"(41.878865584, -87.625192142)","(41.944226601, -87.655998182)",14,11.840000000000002
40,"(41.97907082, -87.903039661)","(41.982775009, -87.8773054)",13,5.6000000000000005
41,"(41.980264315, -87.913624596)","(41.944226601, -87.655998182)",13,24.144
42,"(41.880994471, -87.632746489)","(41.859349715, -87.617358006)",12,3.2
43,"(41.884987192, -87.620992913)","(41.89321636, -87.63784421)",12,1.92
44,"(41.899155613, -87.626210532)","(41.884987192, -87.620992913)",15,0.0
45,"(41.944226601, -87.655998182)","(41.899602111, -87.633308037)",12,4.0
46,"(41.885300022, -87.642808466)","(41.884987192, -87.620992913)",12,0.0
47,"(41.892507781, -87.626214906)","(41.879255084, -87.642648998)",21,2.72
48,"(41.884987192, -87.620992913)","(41.899155613, -87.626210532)",15,1.6
49,"(41.785998518, -87.750934289)","(41.884987192, -87.620992913)",11,19.680000000000003
50,"(41.880994471, -87.632746489)","(41.891971508, -87.612945414)",10,0.0
51,"(41.879255084, -87.642648998)","(41.892507781, -87.626214906)",20,2.8000000000000003
52,"(41.97907082, -87.903039661)","(41.859349715, -87.617358006)",10,28.896
53,"(41.884987192, -87.620992913)","(41.785998518, -87.750934289)",10,20.912000000000006
54,"(41.97907082, -87.903039661)","(41.877406123, -87.621971652)",10,28.480000000000004
55,"(41.884987192, -87.620992913)","(41.891971508, -87.612945414)",10,2.112
56,"(41.879255084, -87.642648998)","(41.890922026, -87.618868355)",19,2.5600000000000005
57,"(41.859349715, -87.617358006)","(41.880994471, -87.632746489)",9,4.112
58,"(41.879255084, -87.642648998)","(41.877406123, -87.621971652)",9,1.2800000000000002
59,"(41.884987192, -87.620992913)","(41.859349715, -87.617358006)",9,4.16
60,"(41.884987192, -87.620992913)","(41.877406123, -87.621971652)",9,0.6400000000000001
61,"(41.892507781, -87.626214906)","(41.89321636, -87.63784421)",14,1.92
62,"(41.859349715, -87.617358006)","(41.884987192, -87.620992913)",9,2.4320000000000004
63,"(41.980264315, -87.913624596)","(41.922686284, -87.649488729)",9,24.64
64,"(41.97907082, -87.903039661)","(41.870607372, -87.622172937)",9,30.544
65,"(41.878865584, -87.625192142)","(41.874005383, -87.66351755)",9,4.16
66,"(41.891971508, -87.612945414)","(41.884987192, -87.620992913)",9,2.08
67,"(41.899602111, -87.633308037)","(41.878865584, -87.625192142)",9,3.136
68,"(41.884987192, -87.620992913)","(41.88528132, -87.6572332)",9,0.0
69,"(41.89503345, -87.619710672)","(41.879255084, -87.642648998)",18,0.16000000000000006
70,"(41.785998518, -87.750934289)","(41.890922026, -87.618868355)",8,20.8
71,"(41.880994471, -87.632746489)","(41.879066994, -87.657005027)",8,2.4000000000000004
72,"(41.892507781, -87.626214906)","(41.899155613, -87.626210532)",23,1.104
73,"(41.878865584, -87.625192142)","(41.899602111, -87.633308037)",8,1.536
74,"(41.892507781, -87.626214906)","(41.877406123, -87.621971652)",11,1.2800000000000002
75,"(41.880994471, -87.632746489)","(41.785998518, -87.750934289)",8,0.0
76,"(41.877406123, -87.621971652)","(41.884987192, -87.620992913)",8,1.2800000000000002
77,"(41.89321636, -87.63784421)","(41.884987192, -87.620992913)",8,1.52
78,"(41.880994471, -87.632746489)","(41.867902418, -87.642958665)",8,0.0
79,"(41.879255084, -87.642648998)","(41.88528132, -87.6572332)",8,0.0
80,"(41.859349715, -87.617358006)","(41.97907082, -87.903039661)",8,36.208
81,"(41.97907082, -87.903039661)","(41.89321636, -87.63784421)",7,27.664
82,"(41.922686284, -87.649488729)","(41.944226601, -87.655998182)",7,1.7600000000000002
83,"(41.877406123, -87.621971652)","(41.879255084, -87.642648998)",7,1.7600000000000002
84,"(41.874005383, -87.66351755)","(41.899602111, -87.633308037)",7,3.04
85,"(41.880994471, -87.632746489)","(41.870607372, -87.622172937)",7,1.5519999999999998
86,"(41.874005383, -87.66351755)","(41.901206994, -87.676355989)",7,2.5600000000000005
87,"(41.899155613, -87.626210532)","(41.892507781, -87.626214906)",26,0.6400000000000001
88,"(41.785998518, -87.750934289)","(41.880994471, -87.632746489)",7,18.736
89,"(41.892507781, -87.626214906)","(41.859349715, -87.617358006)",9,0.16000000000000006
90,"(41.944226601, -87.655998182)","(41.922686284, -87.649488729)",7,3.3600000000000003
91,"(41.899602111, -87.633308037)","(41.874005383, -87.66351755)",7,4.48
92,"(41.785998518, -87.750934289)","(41.892507781, -87.626214906)",10,1.2800000000000002
